Twitter ID,Date of Tweet,Sentiment
1295783233481834496,2020-08-18 18:02:52,Positive
1295691110887628801,2020-08-18 11:56:48,Positive
1295680400568745984,2020-08-18 11:14:14,Positive
1295649258545307649,2020-08-18 09:10:29,Positive
1295539272922038272,2020-08-18 01:53:27,Positive
1295508154181091329,2020-08-17 23:49:47,Negative
1295485079209172992,2020-08-17 22:18:06,Positive
1295478866295889922,2020-08-17 21:53:25,Positive
1295438683902889984,2020-08-17 19:13:44,Positive
1295436368454324225,2020-08-17 19:04:32,Positive
1295413175370817536,2020-08-17 17:32:23,Positive
1295412724508360707,2020-08-17 17:30:35,Positive
1295411784417980418,2020-08-17 17:26:51,Positive
1295409211782897664,2020-08-17 17:16:38,Positive
1295408360095793152,2020-08-17 17:13:15,Positive
1295407750445441024,2020-08-17 17:10:49,Positive
1295407284814848002,2020-08-17 17:08:58,Positive
1295406877585465344,2020-08-17 17:07:21,Positive
1295405550952480769,2020-08-17 17:02:05,Positive
1295399409824468993,2020-08-17 16:37:41,Positive
1295397877456543746,2020-08-17 16:31:35,Positive
1295366846653267968,2020-08-17 14:28:17,Positive
1295363271952916480,2020-08-17 14:14:05,Positive
1295337222531686410,2020-08-17 12:30:34,Positive
1295329604610207744,2020-08-17 12:00:18,Positive
1295327063310774274,2020-08-17 11:50:12,Positive
1295319092476481538,2020-08-17 11:18:32,Positive
1295315682486292483,2020-08-17 11:04:59,Positive
1295292461645004801,2020-08-17 09:32:42,Positive
1295286987440693248,2020-08-17 09:10:57,Positive
1295286545159790592,2020-08-17 09:09:12,Positive
1295285599130312704,2020-08-17 09:05:26,Positive
1295277940939292672,2020-08-17 08:35:00,Positive
1295276736855314433,2020-08-17 08:30:13,Positive
1295250540658532352,2020-08-17 06:46:08,Negative
1295249721473277954,2020-08-17 06:42:52,Positive
1295240333480034304,2020-08-17 06:05:34,Positive
1295238359456133125,2020-08-17 05:57:43,Positive
1295103246894354438,2020-08-16 21:00:50,Positive
1295100608047972353,2020-08-16 20:50:21,Positive
1295096992931237890,2020-08-16 20:35:59,Positive
1295096659911860224,2020-08-16 20:34:40,Positive
1295093519103807494,2020-08-16 20:22:11,Positive
1294959101819138049,2020-08-16 11:28:03,Positive
1294944443070656513,2020-08-16 10:29:48,Positive
1294754492924284928,2020-08-15 21:55:01,Positive
1294499858993180672,2020-08-15 05:03:11,Negative
1294394545380175877,2020-08-14 22:04:42,Positive
1294394420637454344,2020-08-14 22:04:13,Negative
1294353145938751490,2020-08-14 19:20:12,Positive
1294303830092525568,2020-08-14 16:04:14,Positive
1294188214652227584,2020-08-14 08:24:49,Negative
1294187799269212160,2020-08-14 08:23:10,Positive
1294021815606616067,2020-08-13 21:23:37,Negative
1294021626384846849,2020-08-13 21:22:52,Positive
1294011959021625344,2020-08-13 20:44:27,Positive
1294009715735879682,2020-08-13 20:35:32,Negative
1293996271137677313,2020-08-13 19:42:06,Negative
1293957185811226625,2020-08-13 17:06:48,Positive
1293929318519836677,2020-08-13 15:16:04,Negative
1293929310169042946,2020-08-13 15:16:02,Negative
1293929153931157512,2020-08-13 15:15:24,Positive
1293882723032064002,2020-08-13 12:10:55,Negative
1293875276955422720,2020-08-13 11:41:19,Negative
1293871787332313091,2020-08-13 11:27:27,Positive
1293857610928738304,2020-08-13 10:31:07,Negative
1293829438145286145,2020-08-13 08:39:10,Positive
1293813745119121408,2020-08-13 07:36:49,Negative
1293811203693776897,2020-08-13 07:26:43,Positive
1293677543883591680,2020-08-12 22:35:36,Negative
1293648234691403777,2020-08-12 20:39:08,Positive
1293585366507835405,2020-08-12 16:29:19,Positive
1293500449727713280,2020-08-12 10:51:53,Negative
1293498874007609344,2020-08-12 10:45:38,Negative
1293480939788611584,2020-08-12 09:34:22,Positive
1293475110532386816,2020-08-12 09:11:12,Negative
1293473938610298880,2020-08-12 09:06:33,Positive
1293407150547464192,2020-08-12 04:41:09,Negative
1293330869420265472,2020-08-11 23:38:02,Positive
1293295133258129417,2020-08-11 21:16:02,Negative
1293275315863789568,2020-08-11 19:57:17,Positive
1293273725060689923,2020-08-11 19:50:58,Positive
1293264254871764992,2020-08-11 19:13:20,Positive
1293181833740341248,2020-08-11 13:45:49,Negative
1293179310795153410,2020-08-11 13:35:48,Positive
1293178160226304000,2020-08-11 13:31:14,Negative
1293174357590708227,2020-08-11 13:16:07,Negative
1293165105581117440,2020-08-11 12:39:21,Positive
1293110802149511168,2020-08-11 09:03:34,Positive
1293064107474722817,2020-08-11 05:58:01,Negative
1292967603766517760,2020-08-10 23:34:33,Positive
1292958642094903299,2020-08-10 22:58:56,Negative
1292949288239194113,2020-08-10 22:21:46,Negative
1292920032402472963,2020-08-10 20:25:31,Negative
1292912377894232064,2020-08-10 19:55:06,Positive
1292912185631559685,2020-08-10 19:54:20,Positive
1292910592731369473,2020-08-10 19:48:01,Positive
1292910315001262081,2020-08-10 19:46:54,Positive
1292891613073747976,2020-08-10 18:32:35,Positive
